Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"ул. Боевая/Конечная, жилые дома",Октябрьский район,2,58,3,балкон,NaN,раздельный,на солнечную сторону,дизайнерский,NaN,монолитно-кирпичный,9,1,NaN,31 марта в 00:18,8000000
"Республика Бурятия, Улан-Удэ, Кабанская ул., 16",Советский район,1,35.8,4,балкон,2.7,совмещенный,"на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,1991,1 апреля в 23:10,5000000
"мкр. 148-А, стр. 2",Октябрьский район,1,39.5,12,лоджия,2.9,совмещенный,во двор,евро,возможна ипотека,панельный,17,1,NaN,23 марта в 13:14,3550000
"Республика Бурятия, Улан-Удэ, б-р Карла Маркса, 19",Октябрьский район,3,52.8,5,балкон,NaN,совмещенный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,NaN,1967,28 марта в 03:16,7199777
"ул. Дашиева, д. 7",Октябрьский район,1,43,8,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,монолитный,12,1,NaN,26 марта в 01:57,4580000
"Республика Бурятия, Улан-Удэ, мкр-н Сокол, 3",Советский район,1,35,2,NaN,NaN,совмещенный,NaN,косметический,NaN,кирпичный,3,0,1983,29 марта в 20:29,3500000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 132",Октябрьский район,2,44.6,3,балкон,2.6,совмещенный,"во двор, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1978,31 марта в 11:13,7700000
"Республика Бурятия, Улан-Удэ, ул. Хоца Намсараева, 2",Железнодорожный район,1,33.8,3,балкон,2.5,совмещенный,"на улицу, на солнечную сторону",требует ремонта,NaN,кирпичный,5,NaN,NaN,26 марта в 12:03,5500000
"Республика Бурятия, Улан-Удэ, Столбовая ул., 62",Октябрьский район,3,64,1,балкон,NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,0,1994,3 апреля в 12:14,8300000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 46",Октябрьский район,1,39,3,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,NaN,монолитно-кирпичный,3,NaN,2022,11 марта в 18:48,4975000
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 24",Октябрьский район,1,30,2,балкон,NaN,совмещенный,NaN,евро,возможна ипотека,монолитно-кирпичный,5,0,NaN,19 марта в 21:19,4200000
"Республика Бурятия, Улан-Удэ, мкр-н 140А, 25",Октябрьский район,2,57,6,балкон,NaN,раздельный,NaN,дизайнерский,возможна ипотека,кирпичный,12,1,NaN,24 марта в 21:45,8550000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 13",Железнодорожный район,3,77,4,NaN,3.2,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,4,0,1958,27 марта в 19:01,7900000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 76А",Октябрьский район,2,64.1,7,балкон,2.7,раздельный,"во двор, на улицу",косметический,NaN,кирпичный,12,1,2008,29 марта в 12:12,8600000
"Республика Бурятия, Улан-Удэ, ул. Невского, 6",Железнодорожный район,2,33.7,1,NaN,3.5,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,деревянный,2,NaN,NaN,29 марта в 14:20,1500000
"ул. Бабушкина, стр. 3",Октябрьский район,студия,23.3,3,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,NaN,монолитный,18,1,NaN,26 марта в 09:53,3385750
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 30",Железнодорожный район,1,33,5,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,NaN,NaN,1 апреля в 21:43,4980000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 64",Октябрьский район,2,48.3,5,балкон,NaN,раздельный,"на улицу, на солнечную сторону",требует ремонта,возможна ипотека,панельный,5,0,1983,10 марта в 23:00,5500000
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 27",Октябрьский район,3,58.8,4,"балкон, лоджия",2.5,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,NaN,панельный,5,0,1979,19 марта в 19:58,7500000
"Республика Бурятия, Улан-Удэ, Боевая ул., 3",Октябрьский район,2,48.5,8,лоджия,2.6,раздельный,на улицу,косметический,возможна ипотека,панельный,9,1,1991,21 марта в 17:17,6700000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 52",Октябрьский район,3,58.8,3,балкон,2.5,совмещенный,"во двор, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1972,20 марта в 22:03,7100000
"Республика Бурятия, Улан-Удэ, Ермаковская ул., 24",Советский район,3,68.1,2,балкон,2.6,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,возможна ипотека,панельный,5,NaN,1984,16 марта в 20:04,7000000
"Республика Бурятия, Улан-Удэ, 113-й мкр-н, 1",Октябрьский район,2,48,1,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,панельный,9,1,NaN,26 марта в 13:34,5900000
"Республика Бурятия, Улан-Удэ, мкр-н Исток, Полевая ул., 2",Советский район,1,34,2,NaN,2.9,раздельный,на улицу,косметический,возможна ипотека,кирпичный,2,0,1980,25 марта в 22:51,2000000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 14",Железнодорожный район,3,54,4,балкон,NaN,совмещенный,NaN,косметический,NaN,кирпичный,5,NaN,1962,26 марта в 14:43,7000000
"мкр. 128, д. 2",Октябрьский район,2,63.4,9,"балкон, лоджия",2.7,раздельный,"на улицу, на солнечную сторону",косметический,NaN,монолитный,12,1,NaN,30 марта в 12:20,6100000
"Республика Бурятия, Улан-Удэ, Ростовский пер., 36А",Октябрьский район,1,22,3,балкон,2.6,совмещенный,во двор,косметический,NaN,кирпичный,5,0,196,26 марта в 21:05,3500000
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 30",Октябрьский район,1,36,3,балкон,NaN,совмещенный,NaN,евро,NaN,кирпичный,3,NaN,2012,19 марта в 10:35,4850000
"мкр. 104-й , д. 5",Октябрьский район,2,50.4,6,балкон,2.5,раздельный,на солнечную сторону,евро,возможна ипотека,монолитный,9,1,NaN,29 марта в 14:41,5540700
"Республика Бурятия, Улан-Удэ, Забайкальская ул., 8Ак1",Октябрьский район,3,67.6,2,NaN,NaN,совмещенный,"во двор, на солнечную сторону",косметический,NaN,панельный,3,0,1985,29 марта в 03:34,5600000
"ул. Дашиева, д. 6",Октябрьский район,1,36.7,3,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,9,0,NaN,24 марта в 14:32,4500000
"Республика Бурятия, Улан-Удэ, Столбовая ул., 62",Октябрьский район,3,64,1,балкон,NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,0,1994,3 апреля в 12:14,8300000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 132",Октябрьский район,2,44.6,3,балкон,2.6,совмещенный,"во двор, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1978,31 марта в 11:13,7700000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 76А",Октябрьский район,2,64.1,7,балкон,2.7,раздельный,"во двор, на улицу",косметический,NaN,кирпичный,12,1,2008,29 марта в 12:12,8600000
"Республика Бурятия, Улан-Удэ, ул. Хоца Намсараева, 2",Железнодорожный район,1,33.8,3,балкон,2.5,совмещенный,"на улицу, на солнечную сторону",требует ремонта,NaN,кирпичный,5,NaN,NaN,26 марта в 12:03,5500000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 46",Октябрьский район,1,39,3,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,NaN,монолитно-кирпичный,3,NaN,2022,11 марта в 18:48,4975000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 57",Октябрьский район,2,49.6,3,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,NaN,17 марта в 17:26,7500000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 13",Железнодорожный район,3,77,4,NaN,3.2,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,4,0,1958,27 марта в 19:01,7900000
"Республика Бурятия, Улан-Удэ, ул. Невского, 6",Железнодорожный район,2,33.7,1,NaN,3.5,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,деревянный,2,NaN,NaN,29 марта в 14:20,1500000
"Республика Бурятия, Улан-Удэ, Боевая ул., 3",Октябрьский район,2,48.5,8,лоджия,2.6,раздельный,на улицу,косметический,возможна ипотека,панельный,9,1,1991,21 марта в 17:17,6700000
"ул. Бабушкина, стр. 3",Октябрьский район,студия,23.3,3,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,NaN,монолитный,18,1,NaN,26 марта в 09:53,3385750
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 30",Железнодорожный район,1,33,5,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,NaN,NaN,1 апреля в 21:43,4980000
"Республика Бурятия, Улан-Удэ, 113-й мкр-н, 1",Октябрьский район,2,48,1,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,панельный,9,1,NaN,26 марта в 13:34,5900000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 64",Октябрьский район,2,48.3,5,балкон,NaN,раздельный,"на улицу, на солнечную сторону",требует ремонта,возможна ипотека,панельный,5,0,1983,10 марта в 23:00,5500000
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 27",Октябрьский район,3,58.8,4,"балкон, лоджия",2.5,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,NaN,панельный,5,0,1979,19 марта в 19:58,7500000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 52",Октябрьский район,3,58.8,3,балкон,2.5,совмещенный,"во двор, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1972,20 марта в 22:03,7100000
"Республика Бурятия, Улан-Удэ, Ермаковская ул., 24",Советский район,3,68.1,2,балкон,2.6,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,возможна ипотека,панельный,5,NaN,1984,16 марта в 20:04,7000000
"Республика Бурятия, Улан-Удэ, мкр-н Исток, Полевая ул., 2",Советский район,1,34,2,NaN,2.9,раздельный,на улицу,косметический,возможна ипотека,кирпичный,2,0,1980,25 марта в 22:51,2000000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 14",Железнодорожный район,3,54,4,балкон,NaN,совмещенный,NaN,косметический,NaN,кирпичный,5,NaN,1962,26 марта в 14:43,7000000
"мкр. 128, д. 2",Октябрьский район,2,63.4,9,"балкон, лоджия",2.7,раздельный,"на улицу, на солнечную сторону",косметический,NaN,монолитный,12,1,NaN,30 марта в 12:20,6100000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 144",Октябрьский район,2,52,10,лоджия,NaN,раздельный,NaN,косметический,возможна ипотека,панельный,12,NaN,2005,23 марта в 09:57,6100000
"Республика Бурятия, Улан-Удэ, Ростовский пер., 36А",Октябрьский район,1,22,3,балкон,2.6,совмещенный,во двор,косметический,NaN,кирпичный,5,0,196,26 марта в 21:05,3500000
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 30",Октябрьский район,1,36,3,балкон,NaN,совмещенный,NaN,евро,NaN,кирпичный,3,NaN,2012,19 марта в 10:35,4850000
"мкр. 104-й , д. 5",Октябрьский район,2,50.4,6,балкон,2.5,раздельный,на солнечную сторону,евро,возможна ипотека,монолитный,9,1,NaN,29 марта в 14:41,5540700
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Микояна, 7",Железнодорожный район,4,64.3,2,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,NaN,19 марта в 15:19,6400000
"Республика Бурятия, Улан-Удэ, Забайкальская ул., 8Ак1",Октябрьский район,3,67.6,2,NaN,NaN,совмещенный,"во двор, на солнечную сторону",косметический,NaN,панельный,3,0,1985,29 марта в 03:34,5600000
"мкр. 106-й, стр. 2, корп. 4",Октябрьский район,1,42.2,7,балкон,2.8,совмещенный,NaN,косметический,возможна ипотека,монолитно-кирпичный,9,0,NaN,22 марта в 19:13,4895200
"ул. Дашиева, д. 6",Октябрьский район,1,36.7,3,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,9,0,NaN,24 марта в 14:32,4500000
"Республика Бурятия, Улан-Удэ, мкр-н Заречный, ул. Лощенкова, 19А/1",Советский район,1,32,2,балкон,NaN,раздельный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,0,2016,21 марта в 00:39,5000000
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 1В",Железнодорожный район,2,52.8,11,балкон,NaN,совмещенный,на солнечную сторону,евро,возможна ипотека,кирпичный,17,2,2016,27 марта в 22:05,12000000
"Республика Бурятия, Улан-Удэ, Кабанская ул., 20",Советский район,3,61.5,3,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,NaN,NaN,26 марта в 10:50,6199000
"Республика Бурятия, Улан-Удэ, Солнечная ул., 20",Октябрьский район,1,30.2,3,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,панельный,5,0,NaN,25 марта в 15:29,4400000
"Республика Бурятия, Улан-Удэ, Путейская ул., 6",Железнодорожный район,2,58,4,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,NaN,20 марта в 19:33,7800000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 6",Железнодорожный район,2,42.2,1,NaN,NaN,совмещенный,NaN,евро,возможна ипотека,кирпичный,4,0,NaN,20 марта в 19:27,5000000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 27",Железнодорожный район,2,47,3,балкон,NaN,раздельный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,NaN,NaN,20 марта в 14:18,6500000
"Республика Бурятия, Улан-Удэ, Красноармейская ул., 14",Железнодорожный район,3,49.3,4,балкон,NaN,совмещенный,NaN,дизайнерский,возможна ипотека,кирпичный,5,0,NaN,21 марта в 17:22,6900000
"мкр. 148-А, стр. 1",Октябрьский район,1,35.8,13,балкон,NaN,совмещенный,на улицу,дизайнерский,возможна ипотека,панельный,17,1,NaN,22 марта в 18:03,3105000
"мкр. 140Б, 5 очередь, 2 этап",Октябрьский район,1,39.4,11,балкон,NaN,совмещенный,NaN,дизайнерский,возможна ипотека,монолитный,16,1,NaN,22 марта в 19:47,5099000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 13",Октябрьский район,4,88,4,"балкон, лоджия",2.6,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1993,30 марта в 00:52,9500000
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 40",Октябрьский район,1,40,5,лоджия,2.7,раздельный,"во двор, на улицу",косметический,NaN,панельный,10,1,NaN,23 марта в 02:55,5070000
"Республика Бурятия, Улан-Удэ, ул. Чертенкова, 137",Железнодорожный район,2,42,2,NaN,NaN,совмещенный,"во двор, на солнечную сторону",косметический,NaN,деревянный,2,0,1970,27 марта в 14:01,3250000
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 42",Октябрьский район,2,48.2,5,балкон,2.5,совмещенный,на улицу,косметический,возможна ипотека,панельный,5,NaN,NaN,28 марта в 18:25,5700000
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 38",Октябрьский район,1,35,4,балкон,2.5,совмещенный,на солнечную сторону,косметический,NaN,панельный,5,NaN,1980,28 марта в 16:49,5200000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 31",Октябрьский район,2,51.4,3,балкон,2.7,раздельный,"во двор, на улицу",косметический,NaN,кирпичный,5,NaN,2013,24 марта в 17:18,7000000
"Республика Бурятия, Улан-Удэ, ул. Пугачёва, 29",Октябрьский район,2,42,1,NaN,2.8,раздельный,"на улицу, на солнечную сторону",косметический,возможна ипотека,блочный,2,NaN,1967,30 марта в 11:43,3800000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 19",Октябрьский район,3,55.3,1,NaN,NaN,совмещенный,NaN,требует ремонта,возможна ипотека,кирпичный,5,0,NaN,14 марта в 13:27,5300000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 12",Железнодорожный район,3,57.7,5,балкон,2.5,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,NaN,1961,26 марта в 10:49,6899999
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42Бк2",Октябрьский район,1,38.7,7,балкон,2.7,совмещенный,на солнечную сторону,евро,NaN,монолитный,16,1,2021,30 марта в 11:44,8100000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н",Октябрьский район,3,63.9,3,балкон,2.8,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,монолитно-кирпичный,5,0,NaN,2 апреля в 09:45,6776580
"Республика Бурятия, Улан-Удэ, ул. Кирова, 23",Советский район,2,21.6,1,NaN,NaN,раздельный,NaN,косметический,возможна ипотека,деревянный,1,0,NaN,16 марта в 05:18,2900000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 142",Октябрьский район,1,34.1,2,балкон,NaN,совмещенный,на улицу,требует ремонта,возможна ипотека,панельный,5,NaN,1976,27 марта в 17:05,4380000
"Республика Бурятия, Улан-Удэ, Ростовский пер., 36А",Октябрьский район,1,22,3,балкон,2.6,совмещенный,во двор,косметический,NaN,кирпичный,5,0,196,26 марта в 21:05,3500000
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 30",Октябрьский район,1,36,3,балкон,NaN,совмещенный,NaN,евро,NaN,кирпичный,3,NaN,2012,19 марта в 10:35,4850000
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Микояна, 7",Железнодорожный район,4,64.3,2,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,NaN,19 марта в 15:19,6400000
"мкр. 104-й , д. 5",Октябрьский район,2,50.4,6,балкон,2.5,раздельный,на солнечную сторону,косметический,возможна ипотека,монолитный,9,1,NaN,29 марта в 14:41,5540700
"мкр. 106-й, стр. 2, корп. 4",Октябрьский район,1,42.2,7,балкон,2.8,совмещенный,NaN,косметический,возможна ипотека,монолитно-кирпичный,9,0,NaN,22 марта в 19:13,4895200
"Республика Бурятия, Улан-Удэ, Забайкальская ул., 8Ак1",Октябрьский район,3,67.6,2,NaN,NaN,совмещенный,"во двор, на солнечную сторону",косметический,NaN,панельный,3,0,1985,29 марта в 03:34,5600000
"ул. Дашиева, д. 6",Октябрьский район,1,36.7,3,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,9,0,NaN,24 марта в 14:32,4500000
"Республика Бурятия, Улан-Удэ, Кабанская ул., 20",Советский район,3,61.5,3,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,NaN,NaN,26 марта в 10:50,6199000
"Республика Бурятия, Улан-Удэ, мкр-н Заречный, ул. Лощенкова, 19А/1",Советский район,1,32,2,балкон,NaN,раздельный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,0,2016,21 марта в 00:39,5000000
"Республика Бурятия, Улан-Удэ, Путейская ул., 6",Железнодорожный район,2,58,4,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,кирпичный,5,0,NaN,20 марта в 19:33,7800000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 6",Железнодорожный район,2,42.2,1,NaN,NaN,совмещенный,NaN,евро,возможна ипотека,кирпичный,4,0,NaN,20 марта в 19:27,5000000
"Республика Бурятия, Улан-Удэ, Солнечная ул., 20",Октябрьский район,1,30.2,3,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,панельный,5,0,NaN,25 марта в 15:29,4400000
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 1В",Железнодорожный район,2,52.8,11,балкон,NaN,совмещенный,на солнечную сторону,евро,возможна ипотека,кирпичный,17,2,2016,27 марта в 22:05,12000000
"Республика Бурятия, Улан-Удэ, Красноармейская ул., 14",Железнодорожный район,3,49.3,4,балкон,NaN,совмещенный,NaN,дизайнерский,возможна ипотека,кирпичный,5,0,NaN,21 марта в 17:22,6900000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 27",Железнодорожный район,2,47,3,балкон,NaN,раздельный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,NaN,NaN,20 марта в 14:18,6500000
"мкр. 148-А, стр. 1",Октябрьский район,1,35.8,13,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,панельный,17,1,NaN,22 марта в 18:03,3105000
"мкр. 140Б, 5 очередь, 2 этап",Октябрьский район,1,39.4,11,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,монолитный,16,1,NaN,22 марта в 19:47,5099000
"Республика Бурятия, Улан-Удэ, ул. Мокрова, 40",Октябрьский район,1,40,5,лоджия,2.7,раздельный,"во двор, на улицу",косметический,NaN,панельный,10,1,NaN,23 марта в 02:55,5070000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 13",Октябрьский район,4,88,4,"балкон, лоджия",2.6,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1993,30 марта в 00:52,9500000
"Республика Бурятия, Улан-Удэ, ул. Чертенкова, 137",Железнодорожный район,2,42,2,NaN,NaN,совмещенный,"во двор, на солнечную сторону",косметический,NaN,деревянный,2,0,1970,27 марта в 14:01,3250000
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 42",Октябрьский район,2,48.2,5,балкон,2.5,совмещенный,на улицу,косметический,возможна ипотека,панельный,5,NaN,NaN,28 марта в 18:25,5700000
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 38",Октябрьский район,1,35,4,балкон,2.5,совмещенный,на солнечную сторону,косметический,NaN,панельный,5,NaN,1980,28 марта в 16:49,5200000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 19",Октябрьский район,3,55.3,1,NaN,NaN,совмещенный,NaN,требует ремонта,возможна ипотека,кирпичный,5,0,NaN,14 марта в 13:27,5300000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 31",Октябрьский район,2,51.4,3,балкон,2.7,раздельный,"во двор, на улицу",косметический,NaN,кирпичный,5,NaN,2013,24 марта в 17:18,7000000
"Республика Бурятия, Улан-Удэ, ул. Кирова, 23",Советский район,2,21.6,1,NaN,NaN,раздельный,NaN,косметический,возможна ипотека,деревянный,1,0,NaN,16 марта в 05:18,2900000
"Республика Бурятия, Улан-Удэ, ул. Пугачёва, 29",Октябрьский район,2,42,1,NaN,2.8,раздельный,"на улицу, на солнечную сторону",косметический,возможна ипотека,блочный,2,NaN,1967,30 марта в 11:43,3800000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42Бк2",Октябрьский район,1,38.7,7,балкон,2.7,совмещенный,на солнечную сторону,евро,NaN,монолитный,16,1,2021,30 марта в 11:44,8100000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 12",Железнодорожный район,3,57.7,5,балкон,2.5,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,NaN,1961,26 марта в 10:49,6899999
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 142",Октябрьский район,1,34.1,2,балкон,NaN,совмещенный,на улицу,требует ремонта,возможна ипотека,панельный,5,NaN,1976,27 марта в 17:05,4380000
"Республика Бурятия, Улан-Удэ, мкр-н Кирзавод, Кирпичная ул., 1",Железнодорожный район,1,21.9,5,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,1979,27 марта в 16:56,3200000
"Республика Бурятия, Улан-Удэ, 105-й мкр-н",Октябрьский район,3,63.9,3,балкон,2.8,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,монолитно-кирпичный,5,0,NaN,2 апреля в 09:45,6776580
"Республика Бурятия, Улан-Удэ, Ключевская ул., 4В",Октябрьский район,3,93,13,балкон,3 м,совмещенный,на улицу,требует ремонта,возможна ипотека,кирпичный,16,1,2014,25 марта в 14:24,10850000
"Республика Бурятия, Улан-Удэ, ул. имени Д.Ц. Дашиева, 4",Октябрьский район,2,63.4,9,"балкон, лоджия",NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,12,1,2024,2 апреля в 12:03,6100000
"ул. Ключевская, Блок 3",Октябрьский район,3,85,12,"балкон, лоджия",NaN,совмещенный,"во двор, на улицу, на солнечную сторону",косметический,NaN,монолитный,12,1,NaN,1 апреля в 12:16,7950000
"Республика Бурятия, Улан-Удэ, ул. Чертенкова, 49",Железнодорожный район,2,53,5,балкон,NaN,раздельный,на улицу,косметический,возможна ипотека,кирпичный,5,NaN,NaN,29 марта в 17:55,7100000
"Республика Бурятия, Улан-Удэ, мкр-н Зелёный, 1",Железнодорожный район,3,60.1,5,балкон,NaN,раздельный,"во двор, на улицу",косметический,NaN,кирпичный,5,0,1993,25 марта в 14:41,6800000
"Республика Бурятия, Улан-Удэ, Ермаковская ул., 22",Советский район,2,48,5,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,панельный,5,0,1987,31 марта в 14:12,5900000
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 69",Советский район,2,53,1,NaN,2 м,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,1976,4 апреля в 13:10,8470000
"Республика Бурятия, Улан-Удэ, мкр-н Аэропорт, 28",Советский район,2,50.5,4,балкон,NaN,раздельный,NaN,евро,возможна ипотека,кирпичный,5,NaN,NaN,26 марта в 10:49,4999000
"Республика Бурятия, Улан-Удэ, мкр-н Аэропорт, 29",Советский район,2,49,5,балкон,NaN,раздельный,NaN,косметический,NaN,кирпичный,5,0,1990,1 апреля в 16:26,4700000
"Республика Бурятия, Улан-Удэ, ул. Пушкина, 5",Железнодорожный район,2,33.6,2,NaN,2.8,"совмещенный, раздельный","во двор, на улицу",косметический,возможна ипотека,деревянный,2,0,NaN,28 марта в 15:00,2300000
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 23",Октябрьский район,1,33.5,2,лоджия,2.7,совмещенный,на улицу,косметический,возможна ипотека,монолитно-кирпичный,5,NaN,2013,25 марта в 18:03,4660000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 67",Октябрьский район,2,49,3,балкон,NaN,раздельный,"во двор, на солнечную сторону",косметический,NaN,кирпичный,5,0,1982,22 марта в 10:32,5600000
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 96",Железнодорожный район,3,63.9,1,балкон,2.5,раздельный,"во двор, на улицу",требует ремонта,возможна ипотека,монолитно-кирпичный,5,0,1986,30 марта в 17:08,7000000
"Республика Бурятия, Улан-Удэ, ул. Жердева, 42Бк1",Октябрьский район,2,51.2,14,балкон,NaN,раздельный,NaN,дизайнерский,возможна ипотека,кирпичный,16,1,NaN,12 марта в 21:38,9600000
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 10к2",Октябрьский район,1,33.4,7,балкон,2.8,совмещенный,во двор,требует ремонта,возможна ипотека,монолитно-кирпичный,9,1,2022,17 марта в 16:32,4800000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 6Д",Октябрьский район,студия,32,5,лоджия,NaN,совмещенный,во двор,евро,возможна ипотека,кирпичный,16,1,NaN,2 апреля в 12:13,4949000
"Республика Бурятия, Улан-Удэ, ул. Каландаришвили, 31",Советский район,2,87,4,балкон,2.8,раздельный,"на улицу, на солнечную сторону",евро,NaN,монолитно-кирпичный,5,0,2019,30 марта в 23:01,16300000
