Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, Тобольская ул., 41",Октябрьский район,2,35.5,1,NaN,NaN,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,4,NaN,1972,16 марта в 03:07,3800000
"Республика Бурятия, Улан-Удэ, ул. Гастелло, 4",Железнодорожный район,3,75.2,2,NaN,3 м,совмещенный,"во двор, на улицу, на солнечную сторону",евро,NaN,кирпичный,5,0,1958,9 марта в 20:36,7100000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 14",Октябрьский район,2,42.6,1,NaN,NaN,совмещенный,во двор,косметический,возможна ипотека,панельный,5,NaN,1969,14 марта в 18:21,5250000
"Республика Бурятия, Улан-Удэ, ул. Добролюбова, 7",Железнодорожный район,2,50,9,балкон,NaN,раздельный,на улицу,евро,возможна ипотека,панельный,10,1,1994,20 марта в 19:08,6950000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 76",Октябрьский район,5,50,5,балкон,2.5,раздельный,"во двор, на солнечную сторону",косметический,NaN,панельный,5,0,1985,10 марта в 13:04,6500000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 76А",Октябрьский район,3,73,10,лоджия,2.8,раздельный,"во двор, на улицу, на солнечную сторону",косметический,NaN,монолитно-кирпичный,12,4,2010,10 марта в 13:32,8400000
"ул. Бабушкина, стр. 71",Октябрьский район,1,36.4,4,балкон,280 м,раздельный,NaN,NaN,возможна ипотека,монолитный,12,1,NaN,21 марта в 11:35,5700000
"Республика Бурятия, Улан-Удэ, мкр-н Сокол, 1",Советский район,2,44.2,4,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,панельный,5,0,NaN,20 марта в 18:29,3997000
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 3",Советский район,2,44.3,2,NaN,2.2,совмещенный,на улицу,требует ремонта,NaN,кирпичный,5,0,1968,12 марта в 15:14,5850000
"Республика Бурятия, Улан-Удэ, Столбовая ул., 60",Октябрьский район,4,83,2,"балкон, лоджия",NaN,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,5,NaN,NaN,24 марта в 22:05,15200000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 77",Советский район,3,74,6,балкон,NaN,раздельный,NaN,евро,возможна ипотека,монолитно-кирпичный,15,1,NaN,16 марта в 05:18,11100000
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 38",Железнодорожный район,2,42.3,3,балкон,2.5,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,4,NaN,1960,18 марта в 18:28,5250000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 62А",Октябрьский район,3,60.4,4,балкон,NaN,раздельный,на улицу,косметический,возможна ипотека,панельный,5,0,1985,14 марта в 15:10,6600000
"ул. Бабушкина, стр. 71",Октябрьский район,1,36.5,10,балкон,NaN,раздельный,на улицу,NaN,NaN,монолитный,15,1,NaN,25 марта в 19:24,5650000
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 2",Железнодорожный район,4,85.9,5,"балкон, лоджия",2.7,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,NaN,1978,13 марта в 12:54,10200000
