Адрес,Широта,Долгота
"Республика Бурятия, Улан-Удэ, ул. Лимонова, 10",51.8428102,107.61905644938048
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Туполева, 23А",,
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 5",,
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 5",,
"Республика Бурятия, Улан-Удэ, Профсоюзная ул., 31",51.83217735,107.58907315
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 39",51.8437928,107.6322096
"Республика Бурятия, Улан-Удэ, ул. Гармаева, 15",51.8262562,107.6942957
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 42",51.8143778,107.67414027685594
"Республика Бурятия, Улан-Удэ, ул. Павлова, 21",51.806595650000006,107.6162094
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 68",51.8438243,107.58108373459393
"Республика Бурятия, Улан-Удэ, ул. Рылеева, 5",51.84095785,107.59896624999999
"мкр. 102, ул. Ринчино, стр. 1",,
"мкр. 148-А, стр. 2",,
"Республика Бурятия, Улан-Удэ, ул. Трубачеева, 144",51.81606035,107.61721937260846
"Республика Бурятия, Улан-Удэ, Солнечная ул., 10",51.812977000000004,107.61518885000001
"Республика Бурятия, Улан-Удэ, Солнечная ул., 28",51.811958950000005,107.61722932149877
"Республика Бурятия, Улан-Удэ, Пионерская ул., 17",51.8352935,107.6006168
"Республика Бурятия, Улан-Удэ, ул. Красной Звезды, 40",51.79286135,107.61916166441176
"Республика Бурятия, Улан-Удэ, ул. Буйко, 21А",51.847453349999995,107.62393815000001
"Республика Бурятия, Улан-Удэ, ул. Рылеева, 3",51.84036035,107.59668054999999
"Республика Бурятия, Улан-Удэ, Ключевская ул., 100",51.8196349,107.66281745
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 34",,
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 7",51.8124101,107.5965743
"Республика Бурятия, Улан-Удэ, ул. Сахьяновой, 23В",51.80890275,107.62672797693563
"мкр. 148-А, стр. 2",,
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 34",,
"Республика Бурятия, Улан-Удэ, Ключевская ул., 64А",51.82060945,107.65053504931537
"Республика Бурятия, Улан-Удэ, Сосновая ул., 16",51.84866625,107.62689234550953
"Республика Бурятия, Улан-Удэ, Тобольская ул., 75",51.8161748,107.66629355
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 27",51.839926,107.57932947719124
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 136",51.8218806,107.67816118659832
"Республика Бурятия, Улан-Удэ, 115-й мкр-н, 3",,
"Республика Бурятия, Улан-Удэ, ул. Невского, 2",,
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 60",,
"Республика Бурятия, муниципальное обра зование Сотниковское, с. Сотниково, Трактовая ул.,4",,
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 16",51.847623049999996,107.6145147
"Республика Бурятия, Улан-Удэ, Ключевская ул., 70А",51.8206907,107.65662637063932
